episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-50.26842105263158,68.208,385.0,1.0
2,-50.43979057591623,73.334,355.0,0.99
3,-47.34594594594594,58.283,254.0,0.98
4,-49.72043010752688,67.991,541.0,0.97
5,-45.06417112299465,53.378,274.0,0.96
6,-52.88108108108108,73.665,390.0,0.95
7,-51.142857142857146,73.603,493.0,0.94
8,-47.617801047120416,65.711,376.0,0.9299999999999999
9,-46.891304347826086,57.354,353.0,0.9199999999999999
10,-46.340425531914896,57.534,324.0,0.9099999999999999
11,-47.663101604278076,61.403,343.0,0.8999999999999999
12,-43.68852459016394,46.722,256.0,0.8899999999999999
13,-43.90217391304348,47.409,302.0,0.8799999999999999
14,-44.34594594594594,48.429,306.0,0.8699999999999999
15,-42.888888888888886,47.714,298.0,0.8599999999999999
16,-46.21621621621622,54.141,287.0,0.8499999999999999
17,-44.502702702702706,48.971,301.0,0.8399999999999999
18,-43.24731182795699,46.095,236.0,0.8299999999999998
19,-41.67027027027027,41.039,251.0,0.8199999999999998
20,-42.23783783783784,43.136,231.0,0.8099999999999998
21,-41.88770053475936,42.9,252.0,0.7999999999999998
22,-41.344086021505376,40.644,235.0,0.7899999999999998
23,-41.98421052631579,47.224,292.0,0.7799999999999998
24,-44.43157894736842,52.141,341.0,0.7699999999999998
25,-43.45161290322581,48.049,347.0,0.7599999999999998
26,-44.10752688172043,51.141,283.0,0.7499999999999998
27,-43.58288770053476,47.926,297.0,0.7399999999999998
28,-41.06417112299465,41.502,200.0,0.7299999999999998
29,-39.543010752688176,36.008,197.0,0.7199999999999998
30,-40.88586956521739,38.721,191.0,0.7099999999999997
31,-40.357894736842105,40.568,225.0,0.6999999999999997
32,-42.23936170212766,46.201,268.0,0.6899999999999997
33,-39.851063829787236,38.084,181.0,0.6799999999999997
34,-42.037433155080215,43.598,284.0,0.6699999999999997
35,-42.11351351351351,42.03,226.0,0.6599999999999997
36,-42.854838709677416,45.609,310.0,0.6499999999999997
37,-40.47282608695652,36.578,237.0,0.6399999999999997
38,-42.81521739130435,42.71,279.0,0.6299999999999997
39,-38.946236559139784,34.114,180.0,0.6199999999999997
40,-38.83870967741935,33.046,200.0,0.6099999999999997
41,-39.18378378378378,34.729,179.0,0.5999999999999996
42,-38.25,30.401,163.0,0.5899999999999996
43,-40.502702702702706,36.666,230.0,0.5799999999999996
44,-39.97837837837838,36.373,206.0,0.5699999999999996
45,-37.794736842105266,33.037,200.0,0.5599999999999996
46,-38.91891891891892,32.531,182.0,0.5499999999999996
47,-40.44086021505376,38.071,227.0,0.5399999999999996
48,-38.66486486486487,32.139,183.0,0.5299999999999996
49,-39.60655737704918,34.592,202.0,0.5199999999999996
50,-37.91935483870968,30.263,197.0,0.5099999999999996
51,-37.9344262295082,28.847,164.0,0.49999999999999956
52,-38.58695652173913,30.552,156.0,0.48999999999999955
53,-38.06349206349206,32.077,203.0,0.47999999999999954
54,-37.94021739130435,29.237,166.0,0.46999999999999953
55,-38.44021739130435,30.834,157.0,0.4599999999999995
56,-39.0,31.917,179.0,0.4499999999999995
57,-36.891891891891895,26.304,140.0,0.4399999999999995
58,-37.930851063829785,30.944,188.0,0.4299999999999995
59,-38.26086956521739,30.486,198.0,0.4199999999999995
60,-36.383783783783784,25.282,142.0,0.4099999999999995
61,-37.27567567567568,28.707,204.0,0.39999999999999947
62,-37.83870967741935,30.724,194.0,0.38999999999999946
63,-37.17204301075269,28.24,194.0,0.37999999999999945
64,-35.6436170212766,24.311,174.0,0.36999999999999944
65,-35.893048128342244,25.428,176.0,0.35999999999999943
66,-36.5,26.508,133.0,0.3499999999999994
67,-35.67391304347826,23.46,139.0,0.3399999999999994
68,-35.80978260869565,23.457,137.0,0.3299999999999994
69,-36.7103825136612,24.794,162.0,0.3199999999999994
70,-35.994594594594595,23.732,113.0,0.3099999999999994
71,-36.05434782608695,23.612,163.0,0.2999999999999994
72,-36.53005464480874,24.223,151.0,0.28999999999999937
73,-34.44919786096256,20.943,127.0,0.27999999999999936
74,-35.60326086956522,22.635,137.0,0.26999999999999935
75,-35.69892473118279,23.507,161.0,0.25999999999999934
76,-34.63586956521739,20.455,113.0,0.24999999999999933
77,-36.04371584699454,23.455,136.0,0.23999999999999932
78,-36.67032967032967,23.694,167.0,0.22999999999999932
79,-35.56521739130435,21.998,141.0,0.2199999999999993
80,-35.516304347826086,22.51,154.0,0.2099999999999993
81,-35.82608695652174,22.54,137.0,0.1999999999999993
82,-34.36363636363637,21.508,141.0,0.18999999999999928
83,-35.516304347826086,22.777,146.0,0.17999999999999927
84,-35.13586956521739,20.883,134.0,0.16999999999999926
85,-34.15760869565217,18.406,128.0,0.15999999999999925
86,-34.95628415300546,19.73,125.0,0.14999999999999925
87,-34.17297297297297,18.885,143.0,0.13999999999999924
88,-34.54891304347826,19.532,121.0,0.12999999999999923
89,-34.87978142076503,19.872,118.0,0.11999999999999923
90,-33.96195652173913,17.548,130.0,0.10999999999999924
91,-34.30434782608695,19.332,124.0,0.09999999999999924
92,-34.68306010928962,19.272,127.0,0.08999999999999925
93,-33.79347826086956,17.862,130.0,0.07999999999999925
94,-34.29347826086956,19.397,150.0,0.06999999999999926
95,-34.09239130434783,17.685,122.0,0.059999999999999255
96,-33.71739130434783,17.947,120.0,0.04999999999999925
97,-34.02732240437158,17.7,115.0,0.03999999999999925
98,-34.21857923497268,18.012,115.0,0.02999999999999925
99,-34.01639344262295,17.865,116.0,0.019999999999999248
100,-33.677595628415304,16.861,120.0,0.009999999999999247
