episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-606.1834215167548,3103.084,9274.0,1.0
2,-611.2265193370166,2972.985,8805.0,0.99
3,-614.9759862778731,3243.463,9437.0,0.98
4,-529.5221932114882,1764.316,5869.0,0.97
5,-651.2857142857143,3431.248,9407.0,0.96
6,-582.4978070175439,2356.931,7380.0,0.95
7,-683.790977443609,4079.855,9400.0,0.94
8,-624.2923076923076,2917.145,8502.0,0.9299999999999999
9,-638.8368055555555,3334.123,9371.0,0.9199999999999999
10,-755.9393019726859,4360.868,9574.0,0.9099999999999999
11,-649.2041237113402,2822.559,8033.0,0.8999999999999999
12,-693.1120996441281,3542.91,9299.0,0.8899999999999999
13,-634.1653543307086,2885.914,8250.0,0.8799999999999999
14,-640.9831775700934,3086.289,8694.0,0.8699999999999999
15,-560.8941441441441,2185.006,7025.0,0.8599999999999999
16,-615.6332737030411,3112.82,9200.0,0.8499999999999999
17,-569.3553530751708,2232.265,6977.0,0.8399999999999999
18,-638.8609271523179,2588.414,7347.0,0.8299999999999998
19,-627.8907216494846,2719.653,7834.0,0.8199999999999998
