episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-206.76111111111112,71.961,388.0,1.0
2,-197.34444444444443,68.806,351.0,0.99
3,-180.17777777777778,54.919,322.0,0.98
4,-198.0222222222222,68.943,390.0,0.97
5,-217.42777777777778,76.344,490.0,0.96
6,-175.83333333333334,52.072,321.0,0.95
7,-214.09444444444443,75.74,521.0,0.94
8,-201.46195652173913,70.834,517.0,0.9299999999999999
9,-189.22222222222223,63.378,427.0,0.9199999999999999
10,-186.01111111111112,56.463,292.0,0.9099999999999999
11,-204.4111111111111,70.665,379.0,0.8999999999999999
12,-184.6043956043956,56.281,290.0,0.8899999999999999
13,-180.23333333333332,53.75,282.0,0.8799999999999999
14,-181.64835164835165,54.045,549.0,0.8699999999999999
15,-183.46666666666667,55.393,357.0,0.8599999999999999
16,-181.2722222222222,49.437,243.0,0.8499999999999999
17,-181.7722222222222,54.636,500.0,0.8399999999999999
18,-195.0388888888889,61.103,370.0,0.8299999999999998
19,-183.5611111111111,54.219,287.0,0.8199999999999998
20,-175.53333333333333,50.11,288.0,0.8099999999999998
21,-174.60555555555555,48.765,274.0,0.7999999999999998
22,-209.76111111111112,67.68,378.0,0.7899999999999998
23,-180.77777777777777,53.672,295.0,0.7799999999999998
24,-164.56284153005464,45.412,264.0,0.7699999999999998
25,-185.85,55.092,338.0,0.7599999999999998
26,-171.59444444444443,47.696,267.0,0.7499999999999998
27,-155.9,38.147,224.0,0.7399999999999998
28,-170.12222222222223,46.022,278.0,0.7299999999999998
29,-169.76666666666668,46.222,252.0,0.7199999999999998
30,-164.88333333333333,40.644,184.0,0.7099999999999997
31,-185.67222222222222,54.757,283.0,0.6999999999999997
32,-170.51666666666668,46.864,260.0,0.6899999999999997
33,-168.04444444444445,44.317,246.0,0.6799999999999997
34,-181.2722222222222,52.518,263.0,0.6699999999999997
35,-201.31666666666666,59.47,263.0,0.6599999999999997
36,-169.9777777777778,43.938,309.0,0.6499999999999997
37,-180.0888888888889,50.068,293.0,0.6399999999999997
38,-164.94444444444446,43.533,288.0,0.6299999999999997
39,-207.15555555555557,64.81,377.0,0.6199999999999997
40,-169.22527472527472,45.196,208.0,0.6099999999999997
41,-156.72222222222223,37.574,219.0,0.5999999999999996
42,-170.47222222222223,44.263,234.0,0.5899999999999996
43,-174.87777777777777,45.958,297.0,0.5799999999999996
44,-176.75,46.953,239.0,0.5699999999999996
45,-153.31666666666666,32.925,260.0,0.5599999999999996
46,-165.67777777777778,40.892,217.0,0.5499999999999996
47,-164.42222222222222,41.069,294.0,0.5399999999999996
48,-167.61111111111111,40.636,226.0,0.5299999999999996
49,-154.34444444444443,34.927,208.0,0.5199999999999996
50,-158.26111111111112,36.617,228.0,0.5099999999999996
51,-158.38888888888889,37.364,213.0,0.49999999999999956
52,-156.03333333333333,35.036,165.0,0.48999999999999955
53,-172.34444444444443,46.174,262.0,0.47999999999999954
54,-193.38333333333333,55.643,277.0,0.46999999999999953
55,-154.18333333333334,34.834,235.0,0.4599999999999995
56,-211.86111111111111,67.357,410.0,0.4499999999999995
57,-162.57777777777778,38.605,249.0,0.4399999999999995
58,-165.7277777777778,39.496,317.0,0.4299999999999995
59,-161.6611111111111,36.727,185.0,0.4199999999999995
60,-213.96666666666667,66.236,349.0,0.4099999999999995
