episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-52.65555555555556,73.568,392.0,1.0
2,-49.894444444444446,63.279,336.0,0.99
3,-53.76111111111111,76.03,417.0,0.98
4,-48.96666666666667,62.458,366.0,0.97
5,-52.266666666666666,68.178,498.0,0.96
6,-48.888888888888886,60.219,326.0,0.95
7,-52.06111111111111,66.353,373.0,0.94
8,-48.32085561497326,63.521,303.0,0.9299999999999999
9,-47.5,57.804,334.0,0.9199999999999999
10,-47.083333333333336,55.29,378.0,0.9099999999999999
11,-47.27777777777778,56.301,422.0,0.8999999999999999
12,-47.58011049723757,57.183,291.0,0.8899999999999999
13,-47.15,55.682,321.0,0.8799999999999999
14,-45.28415300546448,52.782,271.0,0.8699999999999999
15,-43.32222222222222,43.119,242.0,0.8599999999999999
16,-47.55,53.844,299.0,0.8499999999999999
17,-42.58888888888889,41.337,216.0,0.8399999999999999
18,-45.16111111111111,47.446,281.0,0.8299999999999998
19,-48.07222222222222,58.648,384.0,0.8199999999999998
20,-40.577777777777776,36.039,205.0,0.8099999999999998
21,-44.13333333333333,46.641,286.0,0.7999999999999998
22,-53.544444444444444,69.58,335.0,0.7899999999999998
23,-43.72222222222222,44.487,224.0,0.7799999999999998
24,-40.675824175824175,38.466,248.0,0.7699999999999998
25,-42.90555555555556,42.232,191.0,0.7599999999999998
26,-42.85,42.772,255.0,0.7499999999999998
27,-40.016666666666666,36.44,304.0,0.7399999999999998
28,-41.044444444444444,37.223,211.0,0.7299999999999998
29,-41.96111111111111,40.439,203.0,0.7199999999999998
30,-42.23888888888889,39.123,223.0,0.7099999999999997
31,-42.25555555555555,39.746,249.0,0.6999999999999997
32,-40.27777777777778,34.196,268.0,0.6899999999999997
33,-42.272222222222226,40.511,290.0,0.6799999999999997
34,-43.71666666666667,41.191,181.0,0.6699999999999997
35,-47.68333333333333,49.946,219.0,0.6599999999999997
36,-40.48888888888889,34.676,202.0,0.6499999999999997
37,-41.87845303867403,37.307,241.0,0.6399999999999997
38,-43.11666666666667,43.012,233.0,0.6299999999999997
39,-45.16111111111111,45.029,211.0,0.6199999999999997
40,-40.41988950276243,35.244,235.0,0.6099999999999997
41,-38.78888888888889,31.267,199.0,0.5999999999999996
42,-39.56666666666667,30.807,170.0,0.5899999999999996
43,-39.83888888888889,31.024,162.0,0.5799999999999996
44,-40.394444444444446,33.711,178.0,0.5699999999999996
45,-39.48888888888889,32.967,239.0,0.5599999999999996
46,-39.25,32.605,176.0,0.5499999999999996
47,-39.80555555555556,34.071,194.0,0.5399999999999996
48,-39.52777777777778,32.23,262.0,0.5299999999999996
49,-38.96666666666667,31.698,227.0,0.5199999999999996
50,-39.47222222222222,32.879,206.0,0.5099999999999996
51,-38.8,29.959,204.0,0.49999999999999956
52,-37.477777777777774,26.893,163.0,0.48999999999999955
53,-38.05,29.244,181.0,0.47999999999999954
54,-44.23888888888889,42.502,189.0,0.46999999999999953
55,-37.28333333333333,26.542,171.0,0.4599999999999995
56,-42.75,37.81,177.0,0.4499999999999995
57,-38.28888888888889,27.805,189.0,0.4399999999999995
58,-39.05,30.446,207.0,0.4299999999999995
59,-38.94444444444444,29.03,172.0,0.4199999999999995
60,-43.727777777777774,41.87,247.0,0.4099999999999995
61,-38.172222222222224,28.916,165.0,0.39999999999999947
62,-37.044444444444444,26.076,173.0,0.38999999999999946
63,-37.91111111111111,26.528,193.0,0.37999999999999945
64,-36.78333333333333,23.28,192.0,0.36999999999999944
65,-37.083333333333336,23.722,158.0,0.35999999999999943
66,-37.87777777777778,29.034,226.0,0.3499999999999994
67,-36.36813186813187,24.351,143.0,0.3399999999999994
68,-36.027624309392266,23.547,192.0,0.3299999999999994
69,-36.577777777777776,23.955,144.0,0.3199999999999994
70,-36.111111111111114,22.657,147.0,0.3099999999999994
71,-35.18888888888889,21.232,129.0,0.2999999999999994
72,-34.26775956284153,20.134,150.0,0.28999999999999937
73,-36.833333333333336,25.928,149.0,0.27999999999999936
74,-35.98351648351648,21.806,160.0,0.26999999999999935
75,-36.23888888888889,23.249,182.0,0.25999999999999934
76,-36.44444444444444,21.745,154.0,0.24999999999999933
77,-36.98888888888889,23.339,143.0,0.23999999999999932
78,-34.98888888888889,20.197,139.0,0.22999999999999932
79,-34.794444444444444,20.015,116.0,0.2199999999999993
80,-38.016666666666666,26.036,159.0,0.2099999999999993
81,-36.4,21.562,120.0,0.1999999999999993
82,-35.40555555555556,20.225,161.0,0.18999999999999928
83,-35.97222222222222,21.434,170.0,0.17999999999999927
84,-35.388888888888886,20.674,114.0,0.16999999999999926
85,-42.40555555555556,36.162,190.0,0.15999999999999925
86,-41.51111111111111,34.198,200.0,0.14999999999999925
87,-35.84444444444444,20.983,119.0,0.13999999999999924
88,-34.7,19.298,133.0,0.12999999999999923
89,-35.31666666666667,19.788,178.0,0.11999999999999923
90,-33.727777777777774,17.143,129.0,0.10999999999999924
91,-34.369565217391305,19.514,139.0,0.09999999999999924
92,-33.9,17.028,116.0,0.08999999999999925
93,-40.522222222222226,30.382,158.0,0.07999999999999925
94,-33.75,17.653,149.0,0.06999999999999926
95,-34.56111111111111,19.338,149.0,0.059999999999999255
96,-34.71666666666667,17.272,141.0,0.04999999999999925
97,-34.65555555555556,19.719,142.0,0.03999999999999925
98,-43.52777777777778,34.461,202.0,0.02999999999999925
99,-33.7,16.874,153.0,0.019999999999999248
100,-34.34444444444444,18.421,132.0,0.009999999999999247
