episode,rewards,avg_acc_waiting_time,max_acc_waiting_time
1,-48.13333333333333,163.3941605839416,1047.0
2,-46.455555555555556,144.51216545012164,705.0
3,-46.5,153.85401459854015,786.0
4,-43.51111111111111,130.35523114355232,576.0
5,-42.48888888888889,124.10583941605839,735.0
6,-47.794444444444444,153.4890510948905,965.0
7,-45.30939226519337,139.51581508515815,781.0
8,-42.76111111111111,125.99391727493918,492.0
9,-40.69444444444444,115.55352798053528,532.0
10,-39.21111111111111,108.27980535279805,641.0
11,-41.922222222222224,123.72627737226277,619.0
12,-41.66129032258065,132.72019464720194,819.0
13,-40.016666666666666,115.15085158150852,786.0
14,-40.666666666666664,115.12043795620438,626.0
15,-38.61666666666667,107.97080291970804,555.0
16,-35.16111111111111,91.90024330900243,532.0
17,-38.105555555555554,111.61800486618004,619.0
18,-38.355555555555554,109.41484184914842,937.0
19,-38.40555555555556,107.5742092457421,602.0
20,-36.15555555555556,95.90389294403893,459.0
21,-37.0,101.5316301703163,575.0
22,-37.91111111111111,113.07542579075425,542.0
23,-36.16111111111111,100.09610705596107,516.0
24,-34.477777777777774,90.05231143552311,646.0
25,-31.43888888888889,76.82116788321167,726.0
26,-36.42777777777778,100.00243309002433,578.0
27,-34.22222222222222,88.88564476885645,481.0
28,-34.361111111111114,89.52068126520682,628.0
29,-33.82222222222222,85.4014598540146,584.0
30,-34.6,93.75182481751825,635.0
31,-33.28888888888889,82.49026763990268,593.0
32,-32.53333333333333,81.40389294403893,636.0
33,-31.3,76.14963503649635,871.0
34,-28.394444444444446,64.21289537712896,420.0
35,-30.655555555555555,73.9014598540146,565.0
36,-29.18888888888889,66.16788321167883,450.0
37,-30.2,71.40389294403893,891.0
38,-29.633333333333333,68.18126520681265,585.0
39,-31.705555555555556,78.84063260340632,696.0
40,-30.466666666666665,71.7250608272506,749.0
41,-27.983333333333334,62.599756690997566,445.0
42,-29.25,68.24209245742092,785.0
43,-28.044444444444444,62.22749391727494,439.0
44,-27.377777777777776,58.60827250608273,649.0
45,-27.92222222222222,60.32238442822384,633.0
46,-30.866666666666667,74.31265206812652,864.0
47,-26.877777777777776,57.40997566909976,500.0
48,-26.583333333333332,56.68613138686131,766.0
49,-26.905555555555555,57.48905109489051,433.0
50,-26.772222222222222,58.17883211678832,651.0
51,-26.57777777777778,57.215328467153284,813.0
52,-24.91111111111111,48.85523114355231,422.0
53,-25.41111111111111,51.24695863746959,456.0
54,-26.983333333333334,60.666666666666664,488.0
55,-25.13888888888889,48.675182481751825,445.0
56,-26.06111111111111,55.47323600973236,445.0
57,-26.394444444444446,55.04866180048662,415.0
58,-25.3,49.968369829683695,393.0
59,-24.66111111111111,47.71776155717762,548.0
60,-25.18888888888889,51.59732360097323,513.0
61,-24.366666666666667,47.76520681265207,544.0
62,-22.833333333333332,40.6654501216545,461.0
63,-23.27777777777778,43.63503649635037,392.0
64,-23.905555555555555,46.565693430656935,426.0
65,-23.433333333333334,41.28223844282238,480.0
66,-23.166666666666668,43.24695863746959,399.0
67,-23.58011049723757,45.32968369829684,639.0
68,-23.57777777777778,43.8661800486618,441.0
69,-23.8,44.11557177615572,428.0
70,-21.983333333333334,36.90267639902677,412.0
71,-23.1,42.82238442822384,544.0
72,-22.17222222222222,38.565693430656935,445.0
73,-22.416666666666668,40.02068126520681,487.0
74,-22.349726775956285,41.304136253041364,430.0
75,-23.25,44.04987834549878,420.0
76,-22.405555555555555,39.89902676399027,421.0
77,-22.988888888888887,43.154501216545015,457.0
78,-21.17222222222222,35.14233576642336,429.0
79,-22.06111111111111,40.89537712895377,442.0
80,-22.1,42.87469586374696,576.0
81,-21.094444444444445,35.394160583941606,445.0
82,-20.988888888888887,35.34306569343066,388.0
83,-21.783333333333335,38.018248175182485,418.0
84,-21.61111111111111,35.860097323600975,420.0
85,-21.294444444444444,36.9014598540146,492.0
86,-21.41111111111111,39.641119221411195,485.0
87,-20.477777777777778,33.89051094890511,412.0
88,-20.22222222222222,32.7676399026764,533.0
89,-20.405555555555555,32.352798053527984,433.0
90,-20.627777777777776,33.87469586374696,609.0
91,-19.83888888888889,30.503649635036496,418.0
92,-20.566666666666666,34.64355231143552,449.0
93,-20.56111111111111,34.00608272506083,521.0
94,-20.433333333333334,32.74695863746959,406.0
95,-19.58888888888889,31.043795620437955,445.0
96,-19.13888888888889,28.391727493917276,401.0
97,-19.266666666666666,27.71897810218978,417.0
98,-20.38888888888889,36.28102189781022,548.0
99,-18.91111111111111,27.39659367396594,422.0
100,-20.194444444444443,34.76155717761557,612.0
