episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-151.25,147.019,631.0,1.0
2,-168.80555555555554,175.459,1148.0,0.99
3,-189.07777777777778,212.339,1046.0,0.98
4,-153.67222222222222,152.061,942.0,0.97
5,-146.8388888888889,140.387,759.0,0.96
6,-160.42777777777778,154.68,754.0,0.95
7,-144.93333333333334,139.967,787.0,0.94
8,-163.88333333333333,170.747,1086.0,0.9299999999999999
9,-137.20555555555555,124.869,588.0,0.9199999999999999
10,-147.6,136.979,879.0,0.9099999999999999
11,-141.53333333333333,130.985,574.0,0.8999999999999999
12,-125.21666666666667,111.013,636.0,0.8899999999999999
13,-125.03333333333333,113.417,666.0,0.8799999999999999
14,-143.53333333333333,134.251,633.0,0.8699999999999999
15,-136.7111111111111,129.311,752.0,0.8599999999999999
16,-132.63333333333333,121.561,939.0,0.8499999999999999
17,-137.11111111111111,130.444,899.0,0.8399999999999999
18,-127.36813186813187,113.335,526.0,0.8299999999999998
19,-134.54444444444445,119.433,800.0,0.8199999999999998
20,-123.04838709677419,109.173,516.0,0.8099999999999998
21,-128.56666666666666,117.785,688.0,0.7999999999999998
22,-126.24444444444444,118.108,605.0,0.7899999999999998
23,-114.78888888888889,96.455,516.0,0.7799999999999998
24,-115.57777777777778,97.083,608.0,0.7699999999999998
25,-114.12222222222222,96.12,475.0,0.7599999999999998
26,-120.91111111111111,108.342,695.0,0.7499999999999998
27,-130.01666666666668,114.068,705.0,0.7399999999999998
28,-119.22222222222223,103.055,596.0,0.7299999999999998
29,-112.03888888888889,92.533,478.0,0.7199999999999998
30,-113.40555555555555,94.094,661.0,0.7099999999999997
31,-113.15,95.878,598.0,0.6999999999999997
32,-112.87777777777778,96.144,591.0,0.6899999999999997
33,-110.56666666666666,89.894,700.0,0.6799999999999997
34,-105.2,84.501,497.0,0.6699999999999997
35,-119.87777777777778,102.153,664.0,0.6599999999999997
36,-110.23333333333333,89.858,484.0,0.6499999999999997
37,-110.9888888888889,91.933,490.0,0.6399999999999997
