episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-201.59444444444443,70.116,393.0,1.0
2,-198.7722222222222,61.656,340.0,0.99
3,-235.2277777777778,90.038,443.0,0.98
4,-189.88888888888889,60.142,472.0,0.97
5,-218.53333333333333,83.053,577.0,0.96
6,-222.19444444444446,82.252,471.0,0.95
7,-181.25555555555556,53.977,250.0,0.94
8,-215.1141304347826,81.152,437.0,0.9299999999999999
9,-180.2,55.52,296.0,0.9199999999999999
10,-175.82222222222222,51.948,395.0,0.9099999999999999
11,-188.9,59.012,324.0,0.8999999999999999
12,-181.94444444444446,53.688,324.0,0.8899999999999999
13,-192.31666666666666,59.971,320.0,0.8799999999999999
14,-193.87912087912088,60.959,257.0,0.8699999999999999
15,-178.49444444444444,50.925,306.0,0.8599999999999999
16,-221.76666666666668,75.7,441.0,0.8499999999999999
17,-184.09444444444443,56.297,253.0,0.8399999999999999
18,-187.37777777777777,55.758,328.0,0.8299999999999998
19,-172.38333333333333,47.438,286.0,0.8199999999999998
20,-172.5,47.541,282.0,0.8099999999999998
21,-191.37222222222223,59.709,367.0,0.7999999999999998
22,-233.02777777777777,81.405,419.0,0.7899999999999998
23,-183.96666666666667,54.476,260.0,0.7799999999999998
24,-167.2336956521739,47.532,360.0,0.7699999999999998
25,-181.5388888888889,52.851,386.0,0.7599999999999998
26,-172.05555555555554,46.822,271.0,0.7499999999999998
27,-167.81666666666666,46.763,242.0,0.7399999999999998
28,-178.34444444444443,51.957,254.0,0.7299999999999998
29,-169.3388888888889,46.118,219.0,0.7199999999999998
30,-174.2888888888889,47.519,229.0,0.7099999999999997
31,-165.22222222222223,41.541,293.0,0.6999999999999997
32,-177.74444444444444,51.967,317.0,0.6899999999999997
33,-162.2111111111111,40.268,215.0,0.6799999999999997
34,-174.35,45.649,199.0,0.6699999999999997
35,-211.26666666666668,63.939,333.0,0.6599999999999997
36,-164.9388888888889,42.029,234.0,0.6499999999999997
37,-178.9,49.048,237.0,0.6399999999999997
38,-167.05555555555554,42.144,262.0,0.6299999999999997
39,-188.63888888888889,50.261,259.0,0.6199999999999997
40,-163.42934782608697,41.908,191.0,0.6099999999999997
41,-159.46666666666667,39.127,230.0,0.5999999999999996
42,-166.99444444444444,42.259,316.0,0.5899999999999996
43,-175.55555555555554,45.896,268.0,0.5799999999999996
44,-170.10555555555555,43.745,300.0,0.5699999999999996
45,-160.79444444444445,37.195,242.0,0.5599999999999996
46,-155.73888888888888,33.734,193.0,0.5499999999999996
47,-154.5611111111111,35.398,234.0,0.5399999999999996
48,-165.98333333333332,39.892,217.0,0.5299999999999996
49,-152.05555555555554,33.516,203.0,0.5199999999999996
50,-154.90555555555557,34.251,233.0,0.5099999999999996
51,-158.76666666666668,35.344,184.0,0.49999999999999956
52,-154.85792349726776,36.049,216.0,0.48999999999999955
53,-159.4611111111111,36.343,211.0,0.47999999999999954
54,-200.7277777777778,59.966,301.0,0.46999999999999953
55,-149.62777777777777,30.766,251.0,0.4599999999999995
56,-170.76666666666668,42.57,218.0,0.4499999999999995
57,-158.6611111111111,36.384,223.0,0.4399999999999995
58,-169.72222222222223,42.213,190.0,0.4299999999999995
59,-158.75,35.444,194.0,0.4199999999999995
60,-286.3333333333333,116.309,779.0,0.4099999999999995
61,-160.63333333333333,36.44,234.0,0.39999999999999947
62,-157.71666666666667,36.295,260.0,0.38999999999999946
63,-149.9,29.864,201.0,0.37999999999999945
64,-158.48888888888888,36.317,287.0,0.36999999999999944
65,-163.17777777777778,37.736,190.0,0.35999999999999943
66,-148.5611111111111,29.514,167.0,0.3499999999999994
67,-147.53296703296704,30.133,257.0,0.3399999999999994
68,-145.4585635359116,28.944,301.0,0.3299999999999994
69,-149.64444444444445,30.748,168.0,0.3199999999999994
70,-148.96666666666667,29.38,193.0,0.3099999999999994
71,-145.0611111111111,29.559,139.0,0.2999999999999994
72,-143.41988950276243,27.442,151.0,0.28999999999999937
73,-151.87777777777777,31.184,203.0,0.27999999999999936
74,-150.30054644808743,31.996,190.0,0.26999999999999935
75,-146.21666666666667,28.044,237.0,0.25999999999999934
76,-146.0388888888889,25.318,339.0,0.24999999999999933
77,-158.6,33.959,202.0,0.23999999999999932
78,-140.24444444444444,25.305,210.0,0.22999999999999932
79,-143.38888888888889,27.421,176.0,0.2199999999999993
80,-177.85555555555555,44.559,362.0,0.2099999999999993
81,-144.3111111111111,25.132,161.0,0.1999999999999993
82,-148.9611111111111,28.597,160.0,0.18999999999999928
83,-149.28333333333333,28.828,233.0,0.17999999999999927
84,-143.98333333333332,26.515,301.0,0.16999999999999926
85,-188.15555555555557,49.433,250.0,0.15999999999999925
86,-170.13888888888889,39.295,186.0,0.14999999999999925
87,-143.02777777777777,24.41,196.0,0.13999999999999924
88,-140.66666666666666,24.236,226.0,0.12999999999999923
89,-142.9388888888889,24.514,168.0,0.11999999999999923
90,-141.26666666666668,25.313,197.0,0.10999999999999924
91,-141.8695652173913,25.758,329.0,0.09999999999999924
92,-139.69444444444446,23.498,204.0,0.08999999999999925
93,-185.98333333333332,49.285,347.0,0.07999999999999925
94,-130.7696335078534,23.379,280.0,0.06999999999999926
95,-139.4,24.566,263.0,0.059999999999999255
96,-142.94444444444446,23.053,213.0,0.04999999999999925
97,-138.6611111111111,22.99,315.0,0.03999999999999925
98,-215.7722222222222,61.189,333.0,0.02999999999999925
99,-140.1,24.716,179.0,0.019999999999999248
100,-142.1,24.472,225.0,0.009999999999999247
