episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-50.96666666666667,67.071,371.0,1.0
2,-51.36666666666667,66.985,356.0,0.99
3,-46.48888888888889,52.005,274.0,0.98
4,-51.7,70.492,469.0,0.97
5,-49.84444444444444,62.039,390.0,0.96
6,-49.42777777777778,62.633,396.0,0.95
7,-47.73888888888889,54.986,311.0,0.94
8,-47.88586956521739,59.952,354.0,0.9299999999999999
9,-50.96666666666667,67.676,378.0,0.9199999999999999
10,-48.233333333333334,58.389,404.0,0.9099999999999999
11,-50.894444444444446,64.907,430.0,0.8999999999999999
12,-46.55555555555556,53.593,329.0,0.8899999999999999
13,-45.4,51.133,243.0,0.8799999999999999
14,-45.65573770491803,51.866,340.0,0.8699999999999999
15,-44.65,47.217,244.0,0.8599999999999999
16,-47.07222222222222,53.655,334.0,0.8499999999999999
17,-45.55555555555556,51.937,403.0,0.8399999999999999
18,-45.47222222222222,49.984,314.0,0.8299999999999998
19,-45.333333333333336,50.708,351.0,0.8199999999999998
