episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-186.57222222222222,211.173,1046.0,1.0
2,-169.88333333333333,189.926,1148.0,0.99
3,-145.42777777777778,138.636,781.0,0.98
4,-152.56666666666666,156.36,997.0,0.97
5,-173.12777777777777,179.192,820.0,0.96
6,-143.44444444444446,134.173,897.0,0.95
7,-146.03296703296704,145.355,777.0,0.94
8,-169.7,170.996,889.0,0.9299999999999999
9,-139.65,134.79,697.0,0.9199999999999999
10,-133.57777777777778,121.601,678.0,0.9099999999999999
11,-145.48888888888888,135.234,694.0,0.8999999999999999
12,-128.61111111111111,109.684,668.0,0.8899999999999999
13,-159.53333333333333,156.892,1233.0,0.8799999999999999
14,-128.62777777777777,113.147,694.0,0.8699999999999999
15,-124.75,108.192,627.0,0.8599999999999999
16,-141.4388888888889,134.103,866.0,0.8499999999999999
17,-126.17777777777778,111.65,800.0,0.8399999999999999
18,-123.71111111111111,111.29,698.0,0.8299999999999998
19,-118.52777777777777,100.554,544.0,0.8199999999999998
20,-141.63333333333333,132.755,1164.0,0.8099999999999998
21,-127.00555555555556,110.939,635.0,0.7999999999999998
22,-124.80555555555556,109.835,775.0,0.7899999999999998
23,-121.77777777777777,104.58,710.0,0.7799999999999998
24,-113.17582417582418,97.925,605.0,0.7699999999999998
25,-118.2,104.518,737.0,0.7599999999999998
26,-115.74444444444444,111.125,655.0,0.7499999999999998
27,-113.96111111111111,92.601,616.0,0.7399999999999998
28,-113.50555555555556,89.893,602.0,0.7299999999999998
29,-112.95555555555555,91.532,545.0,0.7199999999999998
30,-115.08333333333333,97.135,545.0,0.7099999999999997
31,-110.38888888888889,94.777,796.0,0.6999999999999997
32,-114.67777777777778,95.589,597.0,0.6899999999999997
33,-116.15555555555555,97.097,719.0,0.6799999999999997
34,-105.25,91.653,596.0,0.6699999999999997
35,-102.36111111111111,91.235,527.0,0.6599999999999997
36,-112.07777777777778,95.864,538.0,0.6499999999999997
37,-106.22222222222223,90.522,574.0,0.6399999999999997
38,-107.41111111111111,89.877,543.0,0.6299999999999997
39,-111.78333333333333,98.089,522.0,0.6199999999999997
40,-108.94444444444444,86.479,693.0,0.6099999999999997
41,-103.67777777777778,96.558,777.0,0.5999999999999996
42,-106.07222222222222,93.224,655.0,0.5899999999999996
43,-105.89444444444445,86.892,587.0,0.5799999999999996
44,-131.11111111111111,158.35,1445.0,0.5699999999999996
45,-144.1888888888889,182.831,1544.0,0.5599999999999996
46,-107.71666666666667,106.62,899.0,0.5499999999999996
47,-104.79444444444445,82.103,731.0,0.5399999999999996
48,-97.82777777777778,83.359,637.0,0.5299999999999996
49,-133.52777777777777,153.946,1035.0,0.5199999999999996
50,-101.43333333333334,79.184,543.0,0.5099999999999996
51,-102.73333333333333,102.493,1184.0,0.49999999999999956
52,-98.35555555555555,77.156,435.0,0.48999999999999955
53,-111.63333333333334,113.797,773.0,0.47999999999999954
54,-117.09444444444445,129.24,936.0,0.46999999999999953
55,-121.28333333333333,132.384,1041.0,0.4599999999999995
56,-110.92777777777778,120.928,1061.0,0.4499999999999995
57,-97.78333333333333,79.8,609.0,0.4399999999999995
58,-97.7388888888889,81.957,493.0,0.4299999999999995
59,-110.2611111111111,112.892,732.0,0.4199999999999995
60,-131.75555555555556,153.71,1367.0,0.4099999999999995
61,-101.43333333333334,92.144,730.0,0.39999999999999947
62,-102.94444444444444,95.304,777.0,0.38999999999999946
63,-126.2388888888889,148.53,1229.0,0.37999999999999945
64,-111.83888888888889,106.636,857.0,0.36999999999999944
65,-106.30555555555556,128.04,1516.0,0.35999999999999943
66,-91.55555555555556,72.163,572.0,0.3499999999999994
67,-123.98895027624309,149.651,1202.0,0.3399999999999994
68,-132.27027027027026,252.105,2765.0,0.3299999999999994
69,-91.63333333333334,81.836,630.0,0.3199999999999994
70,-99.35,106.303,1332.0,0.3099999999999994
71,-112.88717948717948,155.462,1338.0,0.2999999999999994
72,-110.13888888888889,114.483,849.0,0.28999999999999937
73,-108.09444444444445,127.541,1273.0,0.27999999999999936
74,-155.63888888888889,224.529,1806.0,0.26999999999999935
75,-97.5111111111111,104.397,1275.0,0.25999999999999934
76,-96.94392523364486,150.279,2277.0,0.24999999999999933
77,-148.5021645021645,319.515,3164.0,0.23999999999999932
78,-96.96666666666667,84.591,915.0,0.22999999999999932
79,-156.8388888888889,226.4,1858.0,0.2199999999999993
80,-147.141592920354,308.19,3111.0,0.2099999999999993
81,-155.05,216.546,1791.0,0.1999999999999993
82,-133.86702127659575,214.318,2215.0,0.18999999999999928
83,-144.20481927710844,340.895,3311.0,0.17999999999999927
84,-155.0,214.731,1559.0,0.16999999999999926
85,-156.95833333333334,360.12,3269.0,0.15999999999999925
86,-126.31788079470199,383.541,4591.0,0.14999999999999925
87,-96.63888888888889,99.218,1125.0,0.13999999999999924
88,-138.13333333333333,188.956,1641.0,0.12999999999999923
89,-91.23645320197045,124.737,1538.0,0.11999999999999923
90,-118.44662921348315,429.68,4550.0,0.10999999999999924
91,-130.8525179856115,352.313,3470.0,0.09999999999999924
92,-131.57857142857142,359.062,3836.0,0.08999999999999925
