episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
2,-47.57222222222222,55.966,308.0,1.0
3,-51.12777777777778,67.562,309.0,0.99
4,-48.16111111111111,59.109,497.0,0.98
5,-54.31111111111111,71.531,342.0,0.97
6,-48.833333333333336,61.175,321.0,0.96
7,-50.16111111111111,60.341,296.0,0.95
8,-48.12972972972973,61.068,260.0,0.94
9,-47.105555555555554,56.478,282.0,0.9299999999999999
10,-46.022222222222226,52.245,305.0,0.9199999999999999
11,-45.56666666666667,49.363,274.0,0.9099999999999999
12,-49.63333333333333,60.451,446.0,0.8999999999999999
13,-44.98888888888889,49.173,275.0,0.8899999999999999
14,-51.05434782608695,67.385,365.0,0.8799999999999999
15,-45.87222222222222,50.587,370.0,0.8699999999999999
16,-46.1,50.185,249.0,0.8599999999999999
17,-44.62222222222222,48.181,298.0,0.8499999999999999
18,-45.78888888888889,51.046,365.0,0.8399999999999999
19,-45.81666666666667,50.875,336.0,0.8299999999999998
20,-45.87777777777778,50.183,381.0,0.8199999999999998
21,-46.77777777777778,54.412,349.0,0.8099999999999998
22,-50.772222222222226,65.311,324.0,0.7999999999999998
23,-44.022222222222226,46.038,278.0,0.7899999999999998
24,-40.868852459016395,40.604,235.0,0.7799999999999998
25,-45.96666666666667,51.27,302.0,0.7699999999999998
26,-40.82222222222222,37.578,217.0,0.7599999999999998
27,-42.272222222222226,42.748,263.0,0.7499999999999998
28,-41.272222222222226,37.419,250.0,0.7399999999999998
29,-40.28888888888889,34.759,210.0,0.7299999999999998
30,-42.77777777777778,41.062,217.0,0.7199999999999998
31,-44.31666666666667,45.644,368.0,0.7099999999999997
32,-42.37777777777778,40.016,253.0,0.6999999999999997
33,-39.355555555555554,33.068,237.0,0.6899999999999997
34,-43.833333333333336,41.077,224.0,0.6799999999999997
35,-51.16111111111111,55.609,231.0,0.6699999999999997
36,-42.26111111111111,41.332,216.0,0.6599999999999997
37,-41.35675675675676,38.843,195.0,0.6499999999999997
38,-40.28333333333333,35.299,243.0,0.6399999999999997
39,-45.88333333333333,46.665,289.0,0.6299999999999997
40,-40.19125683060109,35.244,200.0,0.6199999999999997
41,-39.11666666666667,31.956,185.0,0.6099999999999997
42,-40.611111111111114,34.778,187.0,0.5999999999999996
43,-40.90555555555556,34.905,249.0,0.5899999999999996
44,-40.08888888888889,32.387,221.0,0.5799999999999996
45,-38.95,31.279,194.0,0.5699999999999996
46,-38.21111111111111,29.34,146.0,0.5599999999999996
47,-38.138888888888886,28.44,152.0,0.5499999999999996
48,-41.06111111111111,35.551,208.0,0.5399999999999996
49,-38.833333333333336,30.908,195.0,0.5299999999999996
50,-38.416666666666664,29.753,176.0,0.5199999999999996
51,-38.18333333333333,27.835,166.0,0.5099999999999996
52,-37.85,27.537,148.0,0.49999999999999956
53,-40.23888888888889,33.981,219.0,0.48999999999999955
54,-43.05555555555556,38.161,255.0,0.47999999999999954
55,-38.81111111111111,30.613,179.0,0.46999999999999953
56,-42.59444444444444,38.099,195.0,0.4599999999999995
57,-39.077777777777776,30.322,184.0,0.4499999999999995
58,-39.5,31.205,182.0,0.4399999999999995
59,-38.666666666666664,28.867,171.0,0.4299999999999995
60,-44.78888888888889,42.222,215.0,0.4199999999999995
61,-37.84444444444444,27.8,170.0,0.4099999999999995
62,-36.62222222222222,25.16,159.0,0.39999999999999947
63,-38.36666666666667,29.266,179.0,0.38999999999999946
64,-38.422222222222224,27.815,161.0,0.37999999999999945
65,-38.30555555555556,27.112,173.0,0.36999999999999944
66,-38.12777777777778,29.674,180.0,0.35999999999999943
67,-36.85164835164835,24.968,143.0,0.3499999999999994
68,-36.50555555555555,25.926,144.0,0.3399999999999994
69,-36.727777777777774,25.076,127.0,0.3299999999999994
70,-36.63333333333333,23.82,265.0,0.3199999999999994
71,-35.144444444444446,20.634,130.0,0.3099999999999994
72,-35.59782608695652,25.563,143.0,0.2999999999999994
73,-35.733333333333334,22.861,145.0,0.28999999999999937
74,-35.358695652173914,21.297,121.0,0.27999999999999936
75,-36.59444444444444,23.925,178.0,0.26999999999999935
76,-36.41111111111111,21.843,140.0,0.25999999999999934
77,-36.6,21.684,123.0,0.24999999999999933
78,-35.18333333333333,21.406,147.0,0.23999999999999932
79,-34.58888888888889,18.807,111.0,0.22999999999999932
80,-39.24444444444445,29.067,145.0,0.2199999999999993
81,-36.61666666666667,23.104,164.0,0.2099999999999993
82,-35.172222222222224,20.249,118.0,0.1999999999999993
83,-36.105555555555554,21.473,120.0,0.18999999999999928
84,-35.95,21.606,153.0,0.17999999999999927
85,-43.5,39.411,245.0,0.16999999999999926
86,-39.62777777777778,29.642,171.0,0.15999999999999925
87,-36.13333333333333,20.996,139.0,0.14999999999999925
88,-34.81666666666667,19.204,148.0,0.13999999999999924
89,-34.705555555555556,18.335,135.0,0.12999999999999923
90,-34.07222222222222,18.376,121.0,0.11999999999999923
91,-33.5945945945946,18.182,102.0,0.10999999999999924
92,-34.55555555555556,18.384,132.0,0.09999999999999924
93,-40.62777777777778,30.009,172.0,0.08999999999999925
94,-33.62222222222222,16.586,106.0,0.07999999999999925
95,-34.43888888888889,19.116,112.0,0.06999999999999926
96,-35.138888888888886,17.946,109.0,0.059999999999999255
97,-34.45,19.373,152.0,0.04999999999999925
98,-42.05555555555556,32.351,188.0,0.03999999999999925
99,-33.74444444444445,17.006,126.0,0.02999999999999925
100,-34.63333333333333,19.243,163.0,0.019999999999999248
101,-37.18888888888889,24.406,158.0,0.009999999999999247
