episode,rewards,avg_acc_waiting_time,max_acc_waiting_time,epsilon
1,-47.56111111111111,56.772,334.0,1.0
2,-50.516666666666666,65.928,404.0,0.99
3,-55.78888888888889,78.886,454.0,0.98
4,-50.71111111111111,67.257,389.0,0.97
5,-50.45,63.005,348.0,0.96
6,-48.74444444444445,59.014,328.0,0.95
7,-48.833333333333336,58.249,297.0,0.94
8,-46.204301075268816,56.979,271.0,0.9299999999999999
9,-46.53333333333333,53.566,232.0,0.9199999999999999
10,-44.44444444444444,47.541,329.0,0.9099999999999999
11,-49.327777777777776,60.532,398.0,0.8999999999999999
12,-49.51381215469613,61.286,328.0,0.8899999999999999
13,-47.4,56.083,321.0,0.8799999999999999
14,-46.1978021978022,54.229,326.0,0.8699999999999999
15,-43.98888888888889,45.864,232.0,0.8599999999999999
16,-48.083333333333336,54.544,279.0,0.8499999999999999
17,-43.95580110497237,47.849,362.0,0.8399999999999999
18,-44.97222222222222,48.711,229.0,0.8299999999999998
19,-44.97222222222222,48.674,261.0,0.8199999999999998
20,-44.57222222222222,47.294,329.0,0.8099999999999998
21,-42.86666666666667,42.341,245.0,0.7999999999999998
22,-49.111111111111114,56.962,364.0,0.7899999999999998
23,-45.044444444444444,47.105,239.0,0.7799999999999998
24,-41.89071038251366,43.008,346.0,0.7699999999999998
25,-44.577777777777776,46.657,270.0,0.7599999999999998
26,-41.083333333333336,37.996,203.0,0.7499999999999998
27,-42.17777777777778,42.88,254.0,0.7399999999999998
28,-43.727777777777774,45.128,249.0,0.7299999999999998
29,-43.71111111111111,44.343,257.0,0.7199999999999998
30,-43.05,41.486,289.0,0.7099999999999997
31,-45.51111111111111,47.658,366.0,0.6999999999999997
32,-41.172222222222224,37.104,234.0,0.6899999999999997
33,-40.644444444444446,36.234,171.0,0.6799999999999997
34,-42.81666666666667,40.236,232.0,0.6699999999999997
35,-48.38333333333333,53.446,317.0,0.6599999999999997
36,-40.31111111111111,34.529,202.0,0.6499999999999997
37,-42.38121546961326,39.077,198.0,0.6399999999999997
38,-39.71666666666667,32.696,229.0,0.6299999999999997
39,-50.24444444444445,58.812,328.0,0.6199999999999997
40,-37.88108108108108,29.648,180.0,0.6099999999999997
41,-38.90555555555556,30.759,188.0,0.5999999999999996
42,-39.833333333333336,32.987,147.0,0.5899999999999996
43,-40.94444444444444,33.788,180.0,0.5799999999999996
44,-38.87222222222222,28.105,184.0,0.5699999999999996
45,-39.48888888888889,32.911,223.0,0.5599999999999996
46,-37.09444444444444,25.515,134.0,0.5499999999999996
47,-39.84444444444444,34.042,217.0,0.5399999999999996
48,-39.516666666666666,31.158,164.0,0.5299999999999996
49,-38.111111111111114,29.699,174.0,0.5199999999999996
50,-39.19444444444444,31.504,225.0,0.5099999999999996
51,-38.46111111111111,29.009,166.0,0.49999999999999956
52,-38.67777777777778,29.701,146.0,0.48999999999999955
53,-38.355555555555554,29.672,161.0,0.47999999999999954
54,-45.18888888888889,44.943,289.0,0.46999999999999953
55,-37.455555555555556,27.225,160.0,0.4599999999999995
56,-40.65555555555556,33.828,173.0,0.4499999999999995
57,-37.922222222222224,26.869,128.0,0.4399999999999995
58,-38.516666666666666,28.052,139.0,0.4299999999999995
59,-39.86666666666667,32.567,180.0,0.4199999999999995
60,-43.01111111111111,39.801,202.0,0.4099999999999995
61,-37.6,27.339,207.0,0.39999999999999947
62,-36.294444444444444,23.58,162.0,0.38999999999999946
63,-36.483333333333334,23.109,152.0,0.37999999999999945
64,-36.75555555555555,23.047,140.0,0.36999999999999944
65,-37.65,25.584,143.0,0.35999999999999943
66,-36.30555555555556,24.978,147.0,0.3499999999999994
67,-36.582417582417584,24.877,181.0,0.3399999999999994
68,-35.44198895027624,22.808,140.0,0.3299999999999994
69,-36.733333333333334,24.667,134.0,0.3199999999999994
70,-36.68888888888889,24.037,149.0,0.3099999999999994
71,-35.73888888888889,21.814,168.0,0.2999999999999994
72,-34.94475138121547,21.737,141.0,0.28999999999999937
73,-36.31111111111111,24.119,131.0,0.27999999999999936
74,-36.69945355191257,24.45,144.0,0.26999999999999935
75,-35.76111111111111,21.835,147.0,0.25999999999999934
76,-36.69444444444444,22.759,110.0,0.24999999999999933
77,-36.43888888888889,22.443,132.0,0.23999999999999932
78,-35.6,21.18,136.0,0.22999999999999932
79,-35.06111111111111,20.625,152.0,0.2199999999999993
80,-39.74444444444445,31.226,197.0,0.2099999999999993
81,-36.24444444444445,21.685,122.0,0.1999999999999993
82,-36.7,23.619,143.0,0.18999999999999928
83,-35.69444444444444,20.311,184.0,0.17999999999999927
84,-35.672222222222224,20.707,120.0,0.16999999999999926
85,-42.40555555555556,35.169,168.0,0.15999999999999925
86,-41.62777777777778,34.016,201.0,0.14999999999999925
87,-36.1,20.719,111.0,0.13999999999999924
88,-35.00555555555555,20.192,154.0,0.12999999999999923
89,-35.15555555555556,19.426,111.0,0.11999999999999923
90,-34.23888888888889,17.969,111.0,0.10999999999999924
91,-35.45108695652174,21.347,127.0,0.09999999999999924
92,-33.97222222222222,16.464,137.0,0.08999999999999925
93,-39.766666666666666,28.668,151.0,0.07999999999999925
94,-34.0,18.234,127.0,0.06999999999999926
95,-33.71111111111111,16.376,103.0,0.059999999999999255
96,-34.605555555555554,17.953,107.0,0.04999999999999925
97,-33.544444444444444,16.459,127.0,0.03999999999999925
98,-41.53888888888889,31.465,223.0,0.02999999999999925
99,-33.477777777777774,16.697,131.0,0.019999999999999248
100,-35.0,19.747,141.0,0.009999999999999247
101,-38.644444444444446,25.949,155.0,-7.528699885739343e-16
